user_address,token_symbol,token_balance,token_address,block_number,timestamp
0x7160570bb153edd0ea1775ec2b2ac9b65f1ab61b,usd+,29623366,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x9140a1f3f3112a4ceeda15c7d07d61fc1b6a5061,usd+,469027,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x9030d5c596d636eefc8f0ad7b2788ae7e9ef3d46,usd+,408169,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x66b5847bf79629c777a3897da98ccc284d15e33a,usd+,373116,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x2bee5c1633222f8478100bf6ab6cab6956bdcfe0,usd+,288575,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x9c67d7f69b137fe93331340203dbdaeeef4ed2f3,usd+,71506,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x9e9611c7a0178faeb44a3bb34e595507cfcd0b65,usd+,30311,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x12f9b18458b512e0896359b23850aab535ed8f7f,usd+,16143,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x10f43fb8e0f85e3263c6a2adafb51cbfe8115746,usd+,15043,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x5d20e2ca1b3f3a138e5f0f2225a7d8cbb281de59,usd+,14052,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x8cfb598dad268e95ac449ace1752120a2de77b49,usd+,11733,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0xa61e3e3463a68dacfabb4172b1718cbdb5889bba,usd+,9029,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0xa155f12d3be29bf20b615e1e7f066ae9e3c5239a,usd+,7881,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0xe7802d58698e0f69219b82e140208fc2108fbfbb,usd+,6939,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0xdc03ede03a2f2949cc58396afdab18f88461f344,usd+,6735,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0xcaffe5b3e562dd89a5ab34411b84863d0f3c7be9,usd+,4423,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
