block_number,timestamp,user_address,token_address,token_symbol,token_balance,usd_price
3000000,1710857973,0x1c2285d8f83eabad37fb9202e0093ea201589934,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,9,1
3000000,1710857973,0x17eb1a2092404c0dc4009f1b284854280c680093,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,103319144,1
3000000,1710857973,0x59dc8cd4595f6774cc21e91f3be3eb6e34e30c5e,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1,1
3000000,1710857973,0x7757829764d4bf87f29bce9d7ae689011623efcb,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1049651,1
3000000,1710857973,0x5eab16598f81756e36acb5aefdb6fcc39b1d235b,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,104959,1
3000000,1710857973,0xd19c2b4f01f07fd08c069fbc172037c56557abbe,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,211681521,1
3000000,1710857973,0x810792ba1ffda4d3c479de531707ac56f4fe8ed1,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,104951939,1
3000000,1710857973,0x84cd2c9770e986ff761cec264913dd4a9e0df17b,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,2465,1
3000000,1710857973,0x9644ffce92ff305f14af9acd71c7ccbbe6478023,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,16786786,1
3000000,1710857973,0xeab44a76a2fa506e7b8842908bc7fb5da9519247,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,3,1
3000000,1710857973,0xcb1ae3d9bfa3a653b1223e0133017cf44248f73a,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,8,1
3000000,1710857973,0x3b5ffdacc349d5c559de44a2d5973081c4ae77f4,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1,1
3000000,1710857973,0xe90e45bb70c96d7f846c61098301e45ded7eb7d1,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,41,1
3000000,1710857973,0xcf1af1094498277c4d17a406afe4da2e3d5e7e9c,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1048515,1
3000000,1710857973,0xd5f720568864b74d66a08c77b5c63c90f99efd6f,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,159,1
3000000,1710857973,0x1ba9907e3c0322fd056d2056de9b22073c45b87f,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,2096861,1
3000000,1710857973,0xc437b7985468ec7fc14f2a810b852f400a918392,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1048409,1
3000000,1710857973,0x816a552dd77a14beffcd8dfc40a70a8f2ad3b0f2,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,22,1
3000000,1710857973,0x439fc347a360d0c9fda70f9f4f2558b78c5f27ab,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1,1
3000000,1710857973,0xde96e75c7160d70a447a72afdb75ddfa1455c808,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,10481,1
3000000,1710857973,0x48b576c87e788a762d6f95a456f2a39113b46950,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,10500451,1
3000000,1710857973,0xe0dca6770223fb1c35e9d89cc1b55696a9109bcc,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,4,1
3000000,1710857973,0x3854988b216de0a63ba9feb77206af0bdb8ae1a0,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1937,1
3000000,1710857973,0x3939d22af089bdfbb96322744234f69db1ab52f8,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,194,1
3000000,1710857973,0x26e1aa014029354d2e8f6d770d8f7443e519cada,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,10478,1
3000000,1710857973,0x14b35ea598a18e171a8f1e724c356f83fb4a0f18,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,10478,1
3000000,1710857973,0xd5e1dc8c0e669dccc91d39379a707cd0f9b7ff85,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,104779,1
3000000,1710857973,0x541bc299778baa8157a5bb093099791ff05b0cc4,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1,1
3000000,1710857973,0x4b9cf9153935e17000d896e78f4230ecd3d9d997,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,32,1
3000000,1710857973,0x0b71e6641e356f3ba31d3ed4ea006dd1b227bdc9,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,10,1
3000000,1710857973,0xbd845061fc7193f4bd051d16806acf3962875a0c,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1,1
3000000,1710857973,0x13b4ffd03e9093465c9dfed09227b6232a823a9b,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1,1
3000000,1710857973,0x6e4e4f860c83d43b3adb10043021bbb6c37ba7d4,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,209528,1
3000000,1710857973,0xf2b9d00e6208ec1e27da00a7deba73bc105056aa,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,41905,1
3000000,1710857973,0x36bb90ab9cb57398fa24d57f6d5989e1493c27bd,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,52381,1
3000000,1710857973,0x64cac8e3efd428955220198ac431ce63bb9581ed,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,942372,1
3000000,1710857973,0x86839204b0a82f07bc779ff9a1235c0335406fe6,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,523,1
3000000,1710857973,0x94117b3b675024aae07f0ef864cbadf044ff3bfc,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,314246,1
3000000,1710857973,0xbaaa2a4d33444a1fb9864cdebca3590bff895041,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,12584021,1
3000000,1710857973,0x323b06f8a39c87645b6a717884a8113861114f2b,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,261867,1
3000000,1710857973,0x84dc915a87ff4257b553f0ae49ad55cd2167c777,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,439930,1
3000000,1710857973,0xf15257af5d376fd3b7a88052e40091eab7d20b39,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,261862,1
3000000,1710857973,0x186eec3f9a071398566200a45779ce5d0d20a880,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,418978,1
3000000,1710857973,0x02b7f345699b476f176ad334bdad9a4a0ab0dba0,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1,1
3000000,1710857973,0xb481465614689230cd0863f8d9a9ac9439dfe79a,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,4,1
3000000,1710857973,0x4b040a88cb4edd02b97f0ab8c97d3da540fc2cf0,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1047373,1
3000000,1710857973,0xe388260268e11bed460196aabbd6540981ebe734,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,377029,1
3000000,1710857973,0xac7553b8319da3730c9b7514b6d93655555a1527,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,418918,1
3000000,1710857973,0x297200138926a1d9a85cde6952f316fef7ebd169,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,10,1
3000000,1710857973,0x30ce132bb163b1189a8eaa07a3891ea78b91c677,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1,1
3000000,1710857973,0x3ef425b598d10909b7289d1b61053b4a413f247b,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,8378281,1
3000000,1710857973,0x92eb80100f964ae61adcd60b3d2dc5666ca9444a,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,418913,1
3000000,1710857973,0xe16be489c93bb4f2a5acbc8c43821a1415e5b540,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1,1
3000000,1710857973,0x70429d6362e07d6986889756d4047d66e0802f8e,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,11520090,1
3000000,1710857973,0x88d2122cf589a291741f1709693f21d0f8867fb9,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,8378239,1
3000000,1710857973,0x22d4fdec27effc58e1d22563b240f3a340b8c7fb,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,11520070,1
3000000,1710857973,0xffeeb7b148298f073e5f0ef05c4fba4386c95fee,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,7330946,1
3000000,1710857973,0x1a124f8cea40b1eac6e03c97c99842d2cdae024e,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,261225,1
3000000,1710857973,0xc1eccb200494a359aafc05873b51d295f1525078,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,8,1
3000000,1710857973,0xf444b7027f1a2b7d0b6ec3238f5736148a010f08,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,6283653,1
3000000,1710857973,0x13a39461fa6a0f78742d26a64bf44cf4b8ee507a,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,475737,1
3000000,1710857973,0x09d355a9926c13cf67da6f53821174104f656c89,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,230399,1
3000000,1710857973,0x506c089790ee9f8fb21fc7726c69cace7cbf5b36,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,418900,1
3000000,1710857973,0xb3ae71fff8ea8fee01d2af50be641481fac624f2,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,251339,1
3000000,1710857973,0x17c4a2dd86fbce9441c7d659b0baa39a6957443b,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,345591,1
3000000,1710857973,0x08bc4c294d0db0e7a5a74f11e924697d28f3532c,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,314170,1
3000000,1710857973,0xee1da54aa6d26f50e479a806cd72c55c02613e5c,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,314169,1
3000000,1710857973,0xc6860be221ab4a4ae12f5cce41db46889d9b6cc7,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,418889,1
3000000,1710857973,0xc8e31b9c808b9b92b8b9b7f1c95895071891ffe9,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1570828,1
3000000,1710857973,0xbb2c6f8c574c4d2e5748f2979f9b25545fcc5688,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,335076,1
3000000,1710857973,0xcfd196f0bb250f3d6f6bdf783f2a4b7f44058ca8,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,209422,1
3000000,1710857973,0xe4b7538c2e2bc683a3e84ea67aded2dff6c8cef5,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,104711,1
3000000,1710857973,0xf0ec9fe05e10f53b02bb5422e0822872318a16da,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,104710,1
3000000,1710857973,0xbf3e31a094e6031f30d28ebfdb15c9a744cc9043,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,335074,1
3000000,1710857973,0x8e7703dd82fe96975fa6b54bf63280e63fdef211,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,104710,1
