block_number,timestamp,token_address,token_balance,user_address
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,750000000071148900,0x00ac9eec7fcbfb335ff678e4137e2e3383989204
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,21731721479063620,0x00ba280c55643f707e23376c948be41b5468ef58
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,30000000000000000,0x01a1d2750b2c7aad954698c1e9596f5ccabdd265
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,11000000000000000,0x04028198e451f64212c33ca22cb3b1fba6272459
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,600000000000000000,0x0499d44beec210cb334b3c366348abe4810db52e
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,17000000000000000,0x04c0cc73de341ef5dca540fc8ebef24c574e7a83
3040699,1711020769,0xb5bedd42000b71fdde22d3ee8a79bd49a568fc8f,13000000000000000,0x055fda7eb509cc338c898b0f698b7624387ab813
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,1010000000000000000,0x0567fedec3c958441e5ed154704f2f563cb220ed
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,900000000000000000,0x06478c27c23e73c40757216a620339fd8788ecca
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,495000000000000000,0x07687b40f1e807f94ea49206cbbe28111793fb7f
3040699,1711020769,0xb5bedd42000b71fdde22d3ee8a79bd49a568fc8f,500000000000000000,0x0797fc6d6f3762d33728e0eeb9c82dd301f3467b
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,20000000000000000,0x07bacaa97acf2c0d2091f49e3617074cfb54b751
3040699,1711020769,0xb5bedd42000b71fdde22d3ee8a79bd49a568fc8f,10000000000000000,0x0852022531ee6b8cd7dd668299904c7b37129102
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,481000000000000000,0x09a4687adb440c78ab93283b03c46381f2e4cbf3
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,955000000000000000,0x0a7d37da91a4f1eb5b39c439a6dabf4369f8cc42
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,550000000000000000,0x0c921b6913302802f5e6a3908c9e3ee6171405da
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,550000000000000000,0x0ccfa1c3441f3febdcee067bd1cbe3af7bbb614b
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,50000000000000000,0x0dc69f398a6c1b6d1777ff4be17cdb97ca7e5786
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,570000000000000000,0x0e37e122456fc28b5998de19833ff9f435f41038
3040699,1711020769,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f,1000000000000000000,0x0e969f847f8f2dff9f6892fe834be92a1cc96f7a
