block_number,timestamp,user_address,token_address,token_balance,token_symbol,usd_price
3036578,1711004285,0x844a3daeabe7ba8d095911f25d55fc210adb0cb2,0x0000000000000000000000000000000000000001,5753616639331233,,0
3036578,1711004285,0x844a3daeabe7ba8d095911f25d55fc210adb0cb2,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,4223621,,0
3036578,1711004285,0x1107a7693b80e58fd7231ced32708c936e8b7e41,0x0000000000000000000000000000000000000001,499999907768274,,0
3036578,1711004285,0x663a2b5841fb3ed0873d5435ac7e4eb32f94a8bd,0x0000000000000000000000000000000000000001,30000000667712912,,0
3036578,1711004285,0xba863681f73d82b1edb33ce015175a4df3417029,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,10201080589,,0
3036578,1711004285,0xd3c85eb21abc986053300851456c457b0fb88b15,0x0000000000000000000000000000000000000001,6055867222076982,,0
3036578,1711004285,0xadd1129fadfefbd660cff48230c7ee8ea862df3f,0x0000000000000000000000000000000000000001,11999999904198723,,0
3036578,1711004285,0x074abbd4c95a4ec4f0f0d508962978720f109e17,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,31017891,,0
3036578,1711004285,0xc0dbc44db7d9f07b919932fb9415d11030640931,0x0000000000000000000000000000000000000001,15000000111803703,,0
3036578,1711004285,0x3e3fe023928a7addae16a6199045b012d1fface0,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,27999999,,0
3036578,1711004285,0x550d0a56b14ae8380364a738dcb17647080ec186,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,13073,,0
3036578,1711004285,0xc1e7ca17274c36a3358460f93ce30200916688b6,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,25999999,,0
3036578,1711004285,0x896db7c827e6dc3635f659dae77cd04b8d6cd5e3,0x0000000000000000000000000000000000000001,50000000436584983,,0
3036578,1711004285,0xe9a4cbfa64bbcb584fbd8ee105a7ebb6b1dbba71,0x0000000000000000000000000000000000000001,25787244936185051,,0
3036578,1711004285,0xe9a4cbfa64bbcb584fbd8ee105a7ebb6b1dbba71,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,1261,,0
3036578,1711004285,0xaafd92712984ec986598cac484d4c3aa8306b7f4,0x0000000000000000000000000000000000000001,211979986284978,,0
3036578,1711004285,0xaafd92712984ec986598cac484d4c3aa8306b7f4,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,868909,,0
3036578,1711004285,0x9c7ad507a09f3ff12bdaaebb81162a71c7339e79,0xa219439258ca9da29e9cc4ce5596924745e12b93,27999999,,0
3036578,1711004285,0x74ec3f1a9ed462869f1c322370ba288c60ce9f5c,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,26227326,,0
3036578,1711004285,0x0fbf787c652f990ce9d31fb92da1e1025d71b019,0x0000000000000000000000000000000000000001,366953094433626,,0
3036578,1711004285,0x0fbf787c652f990ce9d31fb92da1e1025d71b019,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,1449970,,0
3036578,1711004285,0x9fb843e719bfde2f1c61ef44fb8a03aedf8ed5bc,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,2748152,,0
3036578,1711004285,0xb4a4713be66ce3fea970038693c749c3dd460bf1,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,25999999,,0
3036578,1711004285,0xdfc06b005abb3a70753051c3d7a2c5f8a80ddc85,0x0000000000000000000000000000000000000001,14000051836981695,,0
3036578,1711004285,0x3cbac2f81b6d2aed9448ef952d1902160380122c,0xa219439258ca9da29e9cc4ce5596924745e12b93,364976,,0
3036578,1711004285,0x3cbac2f81b6d2aed9448ef952d1902160380122c,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,17700199,,0
3036578,1711004285,0x694100343a5436520d0f877baf3575f50c3340e3,0x0000000000000000000000000000000000000001,12999999846512649,,0
3036578,1711004285,0x72ebfa107cc76edb780239faa4b4fc3374257194,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,26000000,,0
3036578,1711004285,0xb0b3b6f1ee807a52442f8bc71cc1c9242ceebb4d,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,44021658,,0
3036578,1711004285,0xffb2d556d654ff461750414d2ebe5808dff85169,0x0000000000000000000000000000000000000001,50007117714737430,,0
3036578,1711004285,0xffb2d556d654ff461750414d2ebe5808dff85169,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,169418,,0
3036578,1711004285,0xad5f33d0a8cc65af473a86b8d590281b94d08009,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,8721,,0
3036578,1711004285,0x384d43d1ccee6113c35a867cea13bb9f4648c59c,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,1000794,,0
3036578,1711004285,0x7632af5e089e29cde291ce1f70d9b6b2b2f9f972,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,25999999,,0
3036578,1711004285,0x416c456be0cbe3c4cdb8f3545b2db67cd8e19c2c,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,32971584,,0
3036578,1711004285,0x250fbab2ae3b4dcb988c8abbea71d38f3d9bbdce,0x0000000000000000000000000000000000000001,12999999976367439,,0
3036578,1711004285,0xf5c843db0e7dfbbb1e2dc3bfaa96a9d7e3991d5a,0x0000000000000000000000000000000000000001,15400548413119873,,0
3036578,1711004285,0x321d00a9e620763fb7d44b7fde6cf20e67c29e63,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,29999999,,0
3036578,1711004285,0xa76bda01601ebdd50512c2103a329db572d7a77a,0x0000000000000000000000000000000000000001,19999999950078770,,0
3036578,1711004285,0xd5ec5c9cda4260a1774d23611999a8ffbd1dffdf,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,30000000,,0
3036578,1711004285,0x40ed3ebc0a19258d19a8fa7d349fc49adc4bc492,0xa219439258ca9da29e9cc4ce5596924745e12b93,27999999,,0
3036578,1711004285,0x8aaadd594663ac47f58a27d8cb9400a269680623,0x0000000000000000000000000000000000000001,1746625942854183,,0
3036578,1711004285,0x8aaadd594663ac47f58a27d8cb9400a269680623,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,7025736,,0
3036578,1711004285,0xb67ca19df4d2f7e31ebf4dc0ff66fce80280914c,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,26999999,,0
3036578,1711004285,0xc075e59c65d81d28921934deb76dc52619efc416,0x0000000000000000000000000000000000000001,30000000275486966,,0
3036578,1711004285,0xd8a62ad8a7efa8a3267932d2e478c026566fbe34,0xa219439258ca9da29e9cc4ce5596924745e12b93,38506911,,0
3036578,1711004285,0xb9914547cf66e9607cc7607e10ed38c20e95270e,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,49999999,,0
3036578,1711004285,0xa1228c23e02f6131e59a7a43fff9784c3b1c7384,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,28000000,,0
3036578,1711004285,0x41464ae269bedbc1f214def18e6befb03d1ebafb,0x0000000000000000000000000000000000000001,14999999884352109,,0
3036578,1711004285,0x3fb4ed8680aa12ffd6f7fda981730fb3e5e75ea5,0x0000000000000000000000000000000000000001,600505974880068,,0
3036578,1711004285,0x3fb4ed8680aa12ffd6f7fda981730fb3e5e75ea5,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,3062780,,0
3036578,1711004285,0x46db9cd2d8067aa9897eef419568b414b9559df2,0x0000000000000000000000000000000000000001,13433012635885067,,0
3036578,1711004285,0xe8fef7bf385e911bcd537992c35f895b4304d49b,0x0000000000000000000000000000000000000001,14999999976982146,,0
3036578,1711004285,0xaf198e3593b61be3469d856c57961daa49be4852,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,50999999,,0
3036578,1711004285,0xe0013cf2ae306fb2431adac5256972e5b70d551c,0x0000000000000000000000000000000000000001,24999999977979881,,0
3036578,1711004285,0x05e851b796378cd18ff1f5f27f270bdff309e250,0x0000000000000000000000000000000000000001,166136904052317,,0
3036578,1711004285,0x05e851b796378cd18ff1f5f27f270bdff309e250,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,9922,,0
3036578,1711004285,0x2b786bd7af48d41263388c63e6613dfe9c6a27e1,0x0000000000000000000000000000000000000001,13000000017312831,,0
3036578,1711004285,0xcd6b3e111d937e20227d6eb94bc0e098975965f6,0x0000000000000000000000000000000000000001,9999999953963052,,0
3036578,1711004285,0xd5fa9dbdb2b445ae7d2ff75ca13360d104ea8319,0x0000000000000000000000000000000000000001,15000000291954490,,0
3036578,1711004285,0x145c18e1ec0c77f5ac846e11a78ff34af107af66,0x0000000000000000000000000000000000000001,134363889499734,,0
3036578,1711004285,0x145c18e1ec0c77f5ac846e11a78ff34af107af66,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,685724,,0
3036578,1711004285,0x0d7e3d4de520f4c5dfdc36c39a1e5d41e980fe2e,0x0000000000000000000000000000000000000001,793709536745758,,0
3036578,1711004285,0x0d7e3d4de520f4c5dfdc36c39a1e5d41e980fe2e,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,615,,0
3036578,1711004285,0x60e4a28b15d15bd6c383bb26b159a664d84015cd,0x0000000000000000000000000000000000000001,11500000157927477,,0
3036578,1711004285,0x6822e0c109f82070dbd7e05b7761d36372176ee6,0x0000000000000000000000000000000000000001,225829126306090,,0
3036578,1711004285,0x6822e0c109f82070dbd7e05b7761d36372176ee6,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,1246479,,0
3036578,1711004285,0x9ff38559bff25022f27dd4d469fd4561eaa816b7,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,26000000,,0
3036578,1711004285,0x0ae3d5949202165584a270cbac7a733b0307a766,0x0000000000000000000000000000000000000001,20000000138458390,,0
3036578,1711004285,0xa40361b0a09f6936182ad0d29ec827bb66bbf8bc,0x0000000000000000000000000000000000000001,251983678507588,,0
3036578,1711004285,0xa40361b0a09f6936182ad0d29ec827bb66bbf8bc,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,1557095,,0
3036578,1711004285,0x217e3c976ac44465649ca01329a9a4027f1350b5,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,27000000,,0
3036578,1711004285,0xd9b043e4daaecae38643681ce80fdc99dda3360c,0x0000000000000000000000000000000000000001,35000903378530635,,0
3036578,1711004285,0x2c5bd7e559b280f4b767b39d64217f594aac5704,0x0000000000000000000000000000000000000001,176992336629299,,0
3036578,1711004285,0x2c5bd7e559b280f4b767b39d64217f594aac5704,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,665455,,0
3036578,1711004285,0xdbdd37c697fb9a8f561583bdc081eacc4b1b656e,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,26000000,,0
3036578,1711004285,0x868ce42217b8e62ea80b4b6e2e42aeb76f2f7900,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,30000000,,0
3036578,1711004285,0x3bc7d7a271b5c3167ecbc43d66053886ffaffa01,0x0000000000000000000000000000000000000001,300850723349002,,0
3036578,1711004285,0x3bc7d7a271b5c3167ecbc43d66053886ffaffa01,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,104161,,0
3036578,1711004285,0x30f5ca4ba6e4becafe6e0694d8200634d18d8f55,0x0000000000000000000000000000000000000001,13000000494285583,,0
3036578,1711004285,0x39c31a899662da8bba43862c82c8ba531dc61390,0xa219439258ca9da29e9cc4ce5596924745e12b93,30789990,,0
3036578,1711004285,0x078219b1128ce545555a71088a4bcf3fd8ab39c3,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,58301702,,0
3036578,1711004285,0x2edcc63607b016bab1470a124734bac80676de69,0x0000000000000000000000000000000000000001,207979881559530,,0
3036578,1711004285,0x2edcc63607b016bab1470a124734bac80676de69,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,853717,,0
3036578,1711004285,0x74451be63699119867acc3969a3cf9b0fdc97eb5,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,30738680,,0
3036578,1711004285,0xd9ae0cfbaba4ca15dedc5b6aa4791a021e6e44b2,0xa219439258ca9da29e9cc4ce5596924745e12b93,27911791,,0
3036578,1711004285,0x4035a01c5ddb717ea09d707e1db2ad5f05054b6d,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,126034298,,0
3036578,1711004285,0x2f0d5918af0d12631df3fd45270ac3153c48f38b,0xa219439258ca9da29e9cc4ce5596924745e12b93,26575407,,0
3036578,1711004285,0x8329654cc68e53873edb7f54c6323af3a26a96ef,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,44800000,,0
3036578,1711004285,0x11f71b7fb4eb8f2605e6ed4768226c898965b48b,0x0000000000000000000000000000000000000001,13500000366016655,,0
3036578,1711004285,0x24541fc8938424b85eb8b52dc55127d93ff9d7e3,0x0000000000000000000000000000000000000001,15000000142554246,,0
3036578,1711004285,0x66c97dc031bb2f6ad421cef7b01de0ca2ae4fe64,0x0000000000000000000000000000000000000001,16710141496837781,,0
3036578,1711004285,0x75f0eba63e46a74c3c655aad23a563c3fa16abdb,0x0000000000000000000000000000000000000001,28000000388765866,,0
3036578,1711004285,0x8859919933221ee36471b6620cad26b547f755e9,0x0000000000000000000000000000000000000001,197140059280080,,0
3036578,1711004285,0x8859919933221ee36471b6620cad26b547f755e9,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,624359,,0
3036578,1711004285,0xe0560dadfb44d789054f09f3a24dfc1771fb39b5,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,26600000,,0
3036578,1711004285,0xaf50970bc190e7a857ae891e6bf0617d02fa2643,0x0000000000000000000000000000000000000001,15000000184613096,,0
3036578,1711004285,0x9eeef1fe9bf23c49e6c6f19aeae02b34370c6a3e,0x0000000000000000000000000000000000000001,68166379042,,0
3036578,1711004285,0x9eeef1fe9bf23c49e6c6f19aeae02b34370c6a3e,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,97106,,0
3036578,1711004285,0xfd55875204f42e496aa621fe9220cbf1f37ea49d,0x0000000000000000000000000000000000000001,12124147326970194,,0
3036578,1711004285,0x395fbf8d53d44fb9e61684a72757ab5cfc8d83d7,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,25500000,,0
3036578,1711004285,0x886cf30e5f7c6f69ef1be1173a53a6dd04e76966,0x0000000000000000000000000000000000000001,13000000415057545,,0
3036578,1711004285,0x52a03a343768cea33db79551359b0f7d782ec396,0x0000000000000000000000000000000000000001,50000000662998046,,0
3036578,1711004285,0x31106e788d6b27da9a3585802ca074ee82ec9788,0x0000000000000000000000000000000000000001,10000000223869808,,0
3036578,1711004285,0x0147e150d6bcbb2150959ba4a8b16f7a9d3fee84,0x0000000000000000000000000000000000000001,217726088251419,,0
3036578,1711004285,0x0147e150d6bcbb2150959ba4a8b16f7a9d3fee84,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,870360,,0
3036578,1711004285,0x35b29fbf3df79d41e832288f458fda692187d685,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,27000000,,0
3036578,1711004285,0x3701bbfc577f1cbd579fe15da23b687968030fbe,0x0000000000000000000000000000000000000001,208236370523437,,0
