block_number,timestamp,user_address,token_address,token_symbol,token_balance
1123644,1702156132,0x0000014ffa35ed6ad0d5c9c079c908716c113eb8,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,16
1123644,1702156132,0x000077d4cad5a94a505caea8d5a5c4c4eff969da,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,20
1123644,1702156132,0x000312a6ece8b56ba1b4d4c94c2cf1fce8e7a553,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,46
1123644,1702156132,0x000a73873e962e27f93ab10ae089386536a8498b,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,142
1123644,1702156132,0x001f787efddfc6b55b24984201087d84ef0ef498,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,35
1123644,1702156132,0x0029daa53705600935cda15610f3aba6fe83e761,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,3
1123644,1702156132,0x002fc7ee2c93bac54299bb8a700783b73250107c,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,149
1123644,1702156132,0x005c3bc0dce03b2b7ea926eee3c869ed471b23f2,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,18
1123644,1702156132,0x0064f043786e8c597d6565fcbf4f0989bdd0f9a3,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,20
1123644,1702156132,0x00757438f320d3e53acc25b168361a9f7e66d17d,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,200
1123644,1702156132,0x00a16b52a6e6b10bf0d52456a8618eb1beaa685d,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,52
1123644,1702156132,0x00a63087446564108e0df27f5c26bbfa886b98cd,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,50
1123644,1702156132,0x00b92baa9da5af182bc4086a6779d1e93fade1ff,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,1000
1123644,1702156132,0x00bc203d37f6891965797f728119c38137f06d30,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,782
1123644,1702156132,0x00bd42f0ce1f2b9be6f6a40a569710c209077a4a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,101
1123644,1702156132,0x00cdebc042c87c95e439e1aefa0bd3a8014da577,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,80
1123644,1702156132,0x00d878fed72bff1def36b4fb7aa0d52fb22521b3,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,17
1123644,1702156132,0x00d93262c00311349b21b8982e277f43338f7302,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,97
1123644,1702156132,0x00e5f7d58091b8f4bd4928dd5d44c2484d49fae8,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,16
1123644,1702156132,0x00f35ca123150ab94a06de1f6a04ffc6155589ca,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,26
1123644,1702156132,0x010506ad696ff2b9f757fe072dd35cae293e8deb,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,22
1123644,1702156132,0x0135111a7f054ffcbbf429ccdb983724a87b4009,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,100
1123644,1702156132,0x0136c1d9fe05bae0213c31c5f2858b97d7054f0f,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,150
1123644,1702156132,0x013910e9b302aa501d82b6854a91799e9be1441a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,50
1123644,1702156132,0x01401558e1052fd075b9d28cef2d35fbb52c365b,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,202
1123644,1702156132,0x01402572331939175a666d8d2c80f8be1877eec7,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,11
1123644,1702156132,0x0144cdd542fe2babc7c0aad424c48c0a480dd6ec,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,26
1123644,1702156132,0x0147e150d6bcbb2150959ba4a8b16f7a9d3fee84,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,16
1123644,1702156132,0x015e7790453fab47f9801bf84f4c6c1ef4cdcf11,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,20
1123644,1702156132,0x0160d37db424d194b2dcbfc2f7440de2dd7120e2,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,17
1123644,1702156132,0x017d07eac3e0d3c76e6093cd920e58d71d58bc1d,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,25
1123644,1702156132,0x0190a8cb265bdba59f4758c26e17ebaa56b0ddf4,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,296
1123644,1702156132,0x01989e35d6115dbe715148fb75acc675774a5091,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,7
1123644,1702156132,0x019cc201dfd4ce85f83e84a2c6a1294f1e66fa86,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,23
1123644,1702156132,0x01d1264806453bd66a0f29c59f1cccee8dcae1a8,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,52
1123644,1702156132,0x01f8062e62e666b907c1592c3920e9e33b79d7f0,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,900
1123644,1702156132,0x020b0d4c844e0dbca51c9ab779df0191978c0359,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,USDC,5
